tweet,label,predict,result
"""@nolife_alee 3 things i never forget is my belt   my earphones and my rosary :)"" *phone *wallet *ipod",none,none,True
no load  poor me hahahah   :) been facing my itouch for hours now hehehe :) bookworm :) :p,apple,none,False
no longer have bbm properly using iphone now text me your names and number 07944101286,apple,apple,True
no mac but i gotta computer now   ill really clap homie now   #@meekmill,none,none,True
@nomadcoder88 i can type anything in so it is not identifying anything  where my mac address already identifies me.,none,none,True
no matter how hard i tried  i was never good enough for you what makes you think it will be different this time ,none,none,True
no matter how many iphone giveaways you follow or tweets you retweet you are never getting an iphone off of twitter #sorry,apple,apple,True
no matter you have an i phone 4   4s  5 it's still gonna   say tweeted through iphone lol \ed\a0\bd\ed\b3\b2\ed\a0\bd\ed\b8\80\ed\a0\bd\ed\b8\84\ed\a0\bc\ed\be\83,apple,apple,True
no milk so it's cookie &amp &amp  apple juice\ed\a0\bd\ed\b8\94,none,none,True
nom  nom  homemade carrot &amp  apple soup with homemade bread for lunch *heaven*,none,none,True
no mom locked herself out of her fucking iphone and can't remember her password we're on the phone restoring with apple restoring it now \ed\a0\bd\ed\b8\92,apple,apple,True
nomophobia addicted to ur mobile phone\ed\a0\bd\ed\b1\88\ed\a0\bd\ed\b1\88\ed\a0\bd\ed\b1\88\ed\a0\bd\ed\b1\88that's me rt i can't live wit out my iphone,apple,apple,True
no more apple juice for me in the morning,none,none,True
no more broken iphone  i finally bought a replacement ,apple,apple,True
no more cracked screen.. this is my 2nd iphone 5 in a month i am putting it in a bubble ,apple,apple,True
no more ipod for me ):,apple,apple,True
no more room in my iphone wtf   i can't even update my apps \ed\a0\bd\ed\b1\bf\ed\a0\bd\ed\b1\bf\ed\a0\bd\ed\b1\bf,apple,apple,True
"no more serious tweets from me any more *well at least until 1pm* why does my ipod change ""for"" to ""fir""  is it deliberately tripping me up ",apple,apple,True
no need for an xbox .boxthebag boxing training app for ipad &amp  iphone .#148apps http://t.co/rhrmclvi speedball video http://t.co/ddf8yaip,none,apple,False
@nonelvis the tone was different  and i think it was an accident idk  it was months ago i need to stop dwelling.,none,none,True
nong  where did you repair your iphone dulu  @ffaddyy,apple,apple,True
no  no i will not 'share' my ipod with you it's called an ipod  not a uspod.,apple,apple,True
@nonwaiverable i leave the ipad line on my signature in my e-mails so you know how techy i am.,apple,apple,True
"""@noobyboobie does anyone have an iphone charger   "" i do",apple,apple,True
“@noo_days_off pay homage to thy otter box \ed\a0\bd\ed\b9\8c my iphone would be done.\e2\80 ,apple,apple,True
nook #apps for #ios and #android #updated for uk debut barnes &amp  noble's nook apps for #iphone  ipad  and #andro.. http://t.co/uassihaq,none,apple,False
nook for android and ios gets updated  comes to the uk http://t.co/38hnt2kj,none,none,True
#nook owners  no exit (the apple grove gang) is free on b&amp n  http://t.co/hkqcbxvt,none,none,True
no one brought their iphone charger today   liarssssss      ,apple,apple,True
no one cares about your ipad &amp  iphone percentage ,apple,apple,True
no one cares how many apple appliances you have in your house ,apple,none,False
no one cares that you're dying your hair candy apple red shut the fuck up,none,none,True
no one expected this http://t.co/86thwncf #appleproducts,apple,none,False
no one has a iphone 5  give it back,apple,apple,True
no one understands how excited i am to go home and go on my ipod yay,apple,apple,True
noooo iphone died,apple,apple,True
noooooo im only left with 200+ gb on my mac :(,apple,none,False
noooooo mac miller stick to rapping,none,none,True
nooooooooo fuuuuuuuuc i forgot ma ipod and phone charger #salty smh no music for ah nigga today,apple,apple,True
noooooooooo     battery ipad low :(,apple,apple,True
noooooooo tried to charge ipod at work and erased all my music bastards  i mean  i can fix it at home but commute will be sad :(,apple,apple,True
nooooo she not wearing apple bottom jeans   i just know she not doing that lmao,none,none,True
@noornet apple bottom jeans  boots with the fur (with the fur ) the whole world looking at herrrrr  she hit the floor (she hit the floor ),none,none,True
@noowaada my goal is to be in the african safari by the year 2020 there i shall worry only of the lions  tigers  and bears....oh my  lol :),none,none,True
@nopainnogain423 let's just say the last guy i talked towns suppose to be different lol i think that's why i'm mad but you love and learn,none,none,True
no pandora  your supposed to play music that's not in my ipod \ed\a0\bd\ed\b8\92,none,apple,False
nope he woukd have a boring ass iphone lol,apple,apple,True
nope never lending you my ipod again,apple,apple,True
no phone but you tweetin from a iphone,apple,apple,True
no phones and ipod on this train  i object.,apple,apple,True
no phone til monday friendsssssss back to using my ipad   ☺\ed\a0\bd\ed\b8\8c\ed\a0\bd\ed\b8\94\ed\a0\bd\ed\b8\9e\ed\a0\bd\ed\b8\aa,apple,apple,True
no pockets in pjs for iphone whilst out on nite walk so cleavage will just have to do don't tweet me or phone may alarm me tehehehehehe,apple,apple,True
no point telling the apple maps guy to get lost - he already was.,apple,none,False
noshame ipod was hungry for chiken #ipod #mcdonalds #chicken #food http://t.co/kb6hom8i,apple,apple,True
@nosheelah iphone 5  ,apple,apple,True
no shock here they have become stagnant - apple\92s doomsday comes into focus http://t.co/zfnocujx,apple,none,False
no sleep i was stupid to think you would be any different and to still care about you #lessonlearned #neveragain,none,none,True
no someone on my timeline is pissing me off i can't take it i'm going to bed before i throw my ipod through the wall.,none,apple,False
@nostra999 what version of ios are you on ,apple,none,False
no surprise  #kentstate's darrell hazell voted mac coach of the year #maction,none,none,True
no surprises here  apple fires the guy running apple maps http://t.co/njjmxgvh,apple,none,False
not a 1d fan  but their new song is cute + cheesey :) #awww #ainteasybeingcheesey its not an ipod song now bear that in mind ,none,apple,False
notability is broken on my ipad it never works prob because our teachers make everyone use it for everything #rant,none,apple,False
not all fast food chains are alike  2 yr old wanted apple slices  mcd far away  went elsewhere  wont do that again  @mcdonalds are the best ,none,none,True
not another ipod nano http://t.co/uvzy1xw2 - fab colours though #technology,apple,apple,True
@notasausage @mikesusz office computer  airplay to apple tv  docked in ihome radio  jacked into car\92s aux easy  everywhere.,apple,none,False
not a very destructive day for $aapl  but we need confirmation on this bounce which comes by clearing 580 my buying pt http://t.co/jncnfg6q,none,none,True
not a yolanda adams lyric a whole verse in a blue font eve didnt eat an apple for this.,none,none,True
not bb user now iphone user :d,apple,apple,True
"""@notcommonfacts the annual salary that steve jobs took for himself as ceo of apple was just 1 dollar."" o_o",apple,none,False
@notconnordwyer the group doesn't work on my ipod and i don't see your tweets:(,apple,apple,True
notebook.'s awake\99 is now on itunes  https://t.co/b7mmqnmm http://t.co/nu7b7lns,none,none,True
note buy/download my greatest hitz - h(buy/download my greatest hitzhttps://t.co/0zppbsae,none,none,True
note i left my ipad in someones class and my jacket in the cafeteria #goodstart,apple,apple,True
"note to self delete all 'the ban d perry"" from ipod",none,apple,False
note to self don't eat an apple without looking at it.,none,none,True
"note to self engraving ""my sweetheart nancy"" on an ipad  makes it more difficult to sell.",apple,apple,True
note to self...never give @berzurcher28 and @theirishmegster my ipad i love them dearly and of course ke$ha but please...call me andy,apple,apple,True
note to self when drinking warm apple cider  let it cool first.,none,none,True
"not even a joke if i had a baby girl one day like estebans regina d first thing i will say is ""you are beautiful n d apple of god's eyes""",none,none,True
not even siri can help me lol http://t.co/bzaldmoj,apple,apple,True
not exactly the best name for an apple store specialist.. http://t.co/oyn9bpmg,apple,none,False
not fair when moms on her ipad and i'm waiting till xmas ,apple,apple,True
not gna bother getting the iphone 5 . 4s is keeping me going ,apple,apple,True
not going to be a good day for the markets $aapl $goog $tza,none,none,True
not going to let moving get in the way of me and my mac :) http://t.co/kpluwejg,apple,none,False
not gonna lie  i want a caramel apple right now.,none,none,True
@nothammond nutcase that is hashtag on apple keyboard xx,apple,none,False
no thanks -&gt  facebook brings photo-syncing to ios http://t.co/9zdjjhjg,none,none,True
no thanks -&gt  teaching the #iphone to drive the coming singularity in machine vision - forbes http://t.co/nysfuhfo,apple,none,False
not happy that i have no music to walk the dog because @kishhhh_t left my ipod on in my car           ,apple,apple,True
no that's my ego  trippin' somewhere where they need a ski-slope rockin' in the fall like a pea-coat  freaks with a deep throat -mac,none,none,True
not having an iphone and seeing the boxes on twitter sucks lol,apple,apple,True
nothin but country on my ipod #realcountryboy,apple,apple,True
nothin but shaved pussy in my iphone,apple,apple,True
nothing beats a hot apple cider,none,none,True
nothing beats apple juice and bacon in the morning :),none,none,True
nothing beats getting a couple new playlists on your ipod :),apple,apple,True
nothing brings back memories like music does..found my old ipod..#nostalgia,apple,none,False
nothing but pretty dicks in my iphone,apple,apple,True
nothing grinds my gears more than someone frantically typing on their mac.,apple,none,False
"""nothing is sweeter than the day we call out for forgiveness we all need it.""- toby mac",none,none,True
nothing like a free period and an ipod full of coldplay,apple,apple,True
"nothing like rage against the machine ""wake up"" pumping through the ipod to get you going - need this for you @jmthomason",apple,apple,True
nothing like trying to be slick and then dropping you're ipod while the whole class is quite af  ,apple,apple,True
"nothings more annoying than ur iphone autocorrecting ""ahahaha"" to ""ahhahahahahah"" every single time from casual to sociopath just like that",apple,apple,True
nothing to do today but sing along to my ipod on shuffle #officetomyself,apple,apple,True
nothing worse than both your phone and ipod batteries going during school,apple,apple,True
nothing worse than the ipod running out of charge in college please last another hour and a half yeah ,apple,apple,True
nothin like easy mac pussy,none,none,True
noticeable difference between iphone 4 and iphone 5.4 rows becomes 5 rows,apple,apple,True
noticed that my iphone shuffle plays certain songs relentlessly and others almost never is this some refutation of the laws of entropy ,apple,apple,True
notification center could be so much cooler on the ipad,apple,apple,True
notifications from #twitter still not showing up on iphone 5 wtf ,apple,apple,True
not in love with the ipad camera,apple,apple,True
not just apple samsung under fire for allegedly giving employees 16-hour workdays  one day off per month http://t.co/scumf5n9,none,none,True
not my apple juice... ya ma vagina more fun to play with.. truss,none,none,True
not no mac and cheese  fries in the oven typa shit lol #justbeinghonest,none,none,True
not only different place i think diffrent heart too *gag nyambung* lalalalart @mamy_lee @ogeje (cont) http://t.co/dzsopnd9,none,none,True
@notorreyious actually my friend macintosh's were the original computers produced by apple you young bloods think u know so much...,apple,none,False
not saying i'm better than steve jobs or anything but i definitely would have made the iphone charger a couple feet longer,apple,apple,True
not sure if i should get two pairs of uggs or one pair and a iphone grrrrrrrrrrrrr #hatechristmasshoppingsometimes,apple,apple,True
not sure itunes can handle another album,apple,none,False
not sure on innocent's kiwi  apple &amp  limes smoothie  stick to strawberry and banana methinks #iamsointeresting,none,none,True
not sure what the maximum number of alarms an iphone can have  but i'm already at 202 soooo assuming i'd be correct in saying an infinity.,apple,apple,True
not sure why pandora when itunes radio has zero commercials http://t.co/qbo8womp #futuramafry #fry #meme,apple,none,False
not that i forgot my ipad and had to turn all the way around,apple,apple,True
not to mention the countless other problems i have with my phone  i easily could've went to apple or samsung but stuck with @htc you suck ,apple,none,False
not too many people seem to happy about iphone 5 anymore wassup ,apple,apple,True
not too sure if this'll actually work but here it is...how to fix an unresponsive home button in an iphone 4s http://t.co/qy18y9nq,apple,apple,True
not to sound like a snob  but not having an ipad is really starting to suck.,apple,apple,True
not using iphone today :( means no emoji k #bye       ,apple,apple,True
not using siri lately  voice command is a lot better.,apple,apple,True
nov30 580 strike put on aapl looks so good right now,none,none,True
nova development releases the mac superbundle holiday 2012 http://t.co/qx8uinyd,none,none,True
nova machinalis apple reportedly dumping samsung as chip fabricato.. http://t.co/0kwyfmji,apple,none,False
nova machinalis gm to integrate siri into it`s automobiles http://t.co/oc9xds0n,apple,apple,True
@novascotiarasta software for auslan (google it) only comes on ipad eldest is hearing impaired learning auslan hence ipad mini.,apple,apple,True
november 28 your daily horoscope http://t.co/uu0iwqon via @globeandmail iphone app,none,apple,False
november pic of the day day28 apple cider http://t.co/h4yarblk,none,none,True
now-a-days  everyone has an iphone so you have to individually text people fuck holidays when you want to be friendly and send messages...,apple,apple,True
now apple bet not come out wit a nan notha iphone,apple,apple,True
now a proud owner of an ipad #apple,apple,apple,True
now at chong pang mac:3 so many people~,none,none,True
now at mac:),none,none,True
no way has my 17 year old sister got a frigin' iphone 5      ,apple,apple,True
no way i had a dream that i had n iphone  .. woke up mad af ,apple,apple,True
